Cycle_ID,Raag_Name,Notes
79,bhinna shadja,"S,G,m,D,N"
79,hindol,"S,G,M,D,N"
79,amritavarshini,"S,G,M,P,N"
79,marukauns,"S,G,M,P,n"
79,madhukauns,"S,g,M,P,n"
79,devashree,"S,R,M,P,n"
79,megh,"S,R,m,P,n"
79,durga,"S,R,m,P,D"
79,bhoop / deshkar,"S,R,G,P,D"
79,hansadhwani,"S,R,G,P,N"
79,prateeksha,"S,R,G,P,d"
79,vibhas,"S,r,G,P,d"
79,bhoopal todi,"S,r,g,P,d"
79,gunakali,"S,r,m,P,d"
79,manoranjani,"S,r,m,P,D"
79,bairagi,"S,r,m,P,n"
79,dhani,"S,g,m,P,n"
80,malkauns,"S,g,m,d,n"
80,chandrakauns,"S,g,m,d,N"
80,girija,"S,G,m,d,N"
80,bhinna shadja,"S,G,m,D,N"
80,hindol,"S,G,M,D,N"
80,amritavarshini,"S,G,M,P,N"
80,marukauns,"S,G,M,P,n"
80,madhukauns,"S,g,M,P,n"
80,devashree,"S,R,M,P,n"
80,megh,"S,R,m,P,n"
80,durga,"S,R,m,P,D"
80,bhoop / deshkar,"S,R,G,P,D"
80,hansadhwani,"S,R,G,P,N"
80,prateeksha,"S,R,G,P,d"
80,vibhas,"S,r,G,P,d"
80,gunakali,"S,r,m,P,d"
80,bhoopal todi,"S,r,g,P,d"
80,bairagi todi,"S,r,g,P,n"
80,bairagi,"S,r,m,P,n"
80,dhani,"S,g,m,P,n"
81,malkauns,"S,g,m,d,n"
81,chandrakauns,"S,g,m,d,N"
81,girija,"S,G,m,d,N"
81,bhinna shadja,"S,G,m,D,N"
81,hindol,"S,G,M,D,N"
81,amritavarshini,"S,G,M,P,N"
81,marukauns,"S,G,M,P,n"
81,madhukauns,"S,g,M,P,n"
81,devashree,"S,R,M,P,n"
81,megh,"S,R,m,P,n"
81,durga,"S,R,m,P,D"
81,shivaranjani,"S,R,g,P,D"
81,bhoop / deshkar,"S,R,G,P,D"
81,hansadhwani,"S,R,G,P,N"
81,prateeksha,"S,R,G,P,d"
81,vibhas,"S,r,G,P,d"
81,bhoopal todi,"S,r,g,P,d"
81,gunakali,"S,r,m,P,d"
81,manoranjani,"S,r,m,P,D"
81,bairagi,"S,r,m,P,n"
81,dhani,"S,g,m,P,n"
82,malkauns,"S,g,m,d,n"
82,chandrakauns,"S,g,m,d,N"
82,girija,"S,G,m,d,N"
82,bhinna shadja,"S,G,m,D,N"
82,hindol,"S,G,M,D,N"
82,amritavarshini,"S,G,M,P,N"
82,marukauns,"S,G,M,P,n"
82,madhukauns,"S,g,M,P,n"
82,devashree,"S,R,M,P,n"
82,megh,"S,R,m,P,n"
82,durga,"S,R,m,P,D"
82,shivaranjani,"S,R,g,P,D"
82,bhoop / deshkar,"S,R,G,P,D"
82,hansadhwani,"S,R,G,P,N"
82,prateeksha,"S,R,G,P,d"
82,vibhas,"S,r,G,P,d"
82,gunakali,"S,r,m,P,d"
82,bhoopal todi,"S,r,g,P,d"
82,bairagi todi,"S,r,g,P,n"
82,bairagi,"S,r,m,P,n"
82,dhani,"S,g,m,P,n"
